States,NumberofQuestion
13.0,0.5659340659340659
13.0,0.5824175824175825
13.0,0.5192307692307693
13.0,0.5274725274725275
13.0,0.5307398614748281
13.0,0.5027472527472527
13.0,0.49829290976284296
13.0,0.5576923076923077
13.0,0.5082417582417582
13.0,0.5769230769230769
13.0,0.6181318681318682
13.0,0.5274725274725275
13.0,0.5060145867495534
13.0,0.5137362637362637
13.0,0.5027472527472527
13.0,0.504380919748403
13.0,0.5686813186813187
13.0,0.521978021978022
13.0,0.521978021978022
13.0,0.5439560439560439
13.0,0.6181318681318682
13.0,0.510989010989011
13.0,0.521978021978022
13.0,0.5137362637362637
13.0,0.5274725274725275
13.0,0.5137362637362637
13.0,0.521978021978022
13.0,0.5137362637362637
13.0,0.5054945054945055
13.0,0.5604395604395604
