States,NumberofQuestion
0.0,88.0
0.0,88.0
0.0,88.0
0.0,76.0
0.0,88.0
0.0,76.0
0.0,88.0
0.0,82.0
0.0,70.0
0.0,88.0
0.0,88.0
0.0,82.0
0.0,88.0
0.0,76.0
0.0,88.0
0.0,88.0
0.0,82.0
0.0,76.0
0.0,88.0
0.0,82.0
0.0,88.0
0.0,64.0
0.0,88.0
0.0,88.0
0.0,88.0
0.0,76.0
0.0,88.0
0.0,88.0
0.0,76.0
0.0,82.0
