States,NumberofQuestion
13.0,0.6512605042016807
13.0,0.9411764705882353
13.0,0.7529411764705882
13.0,0.6787330316742082
13.0,0.5647058823529412
13.0,0.5989304812834224
13.0,0.42463235294117646
13.0,0.746606334841629
13.0,0.7818627450980392
13.0,0.8492647058823529
13.0,0.5210084033613445
13.0,0.6512605042016807
13.0,0.4852941176470588
13.0,0.4751131221719457
13.0,0.6066176470588236
13.0,0.7279411764705883
13.0,0.8466386554621849
13.0,0.5429864253393666
13.0,0.8784313725490196
13.0,0.5429864253393666
13.0,0.4852941176470588
13.0,0.8235294117647058
13.0,0.7529411764705882
13.0,0.6672794117647058
13.0,0.7529411764705882
13.0,0.5429864253393666
13.0,0.5572755417956656
13.0,0.5210084033613445
13.0,0.42647058823529416
13.0,0.746606334841629
