States,NumberofQuestion
13.0,0.8784313725490196
13.0,0.8235294117647058
13.0,0.7058823529411765
13.0,0.7815126050420168
13.0,0.7529411764705882
13.0,0.746606334841629
13.0,0.5147058823529411
13.0,0.9117647058823529
13.0,0.8529411764705883
13.0,0.7058823529411765
13.0,0.8492647058823529
13.0,0.8156862745098039
13.0,0.5718954248366013
13.0,0.7163865546218487
13.0,0.45751633986928103
13.0,0.4789915966386554
13.0,0.9117647058823529
13.0,0.7815126050420168
13.0,0.6470588235294118
13.0,0.8156862745098039
13.0,0.8492647058823529
13.0,0.8235294117647058
13.0,0.6672794117647058
13.0,0.5718954248366013
13.0,0.6130030959752322
13.0,0.7163865546218487
13.0,0.6290849673202614
13.0,0.7058823529411765
13.0,0.7163865546218487
13.0,0.9117647058823529
