States,NumberofQuestion
13.0,0.28431372549019607
13.0,0.26050420168067223
13.0,0.28431372549019607
13.0,0.28431372549019607
13.0,0.21323529411764708
13.0,0.3553921568627451
13.0,0.20361990950226244
13.0,0.28431372549019607
13.0,0.44919786096256686
13.0,0.28431372549019607
13.0,0.21323529411764708
13.0,0.3553921568627451
13.0,0.20361990950226244
13.0,0.2994652406417112
13.0,0.2714932126696833
13.0,0.20361990950226244
13.0,0.28431372549019607
13.0,0.2994652406417112
13.0,0.20361990950226244
13.0,0.2994652406417112
13.0,0.20361990950226244
13.0,0.4764705882352941
13.0,0.28431372549019607
13.0,0.2714932126696833
13.0,0.20361990950226244
13.0,0.28431372549019607
13.0,0.1953781512605042
13.0,0.2714932126696833
13.0,0.3553921568627451
13.0,0.28431372549019607
