States,NumberofQuestion
13.0,82.0
13.0,82.0
13.0,82.0
13.0,76.0
13.0,82.0
13.0,71.0
13.0,82.0
13.0,76.0
13.0,65.0
13.0,82.0
13.0,82.0
13.0,76.0
13.0,82.0
13.0,76.0
13.0,82.0
13.0,82.0
13.0,76.0
13.0,76.0
13.0,82.0
13.0,76.0
13.0,82.0
13.0,65.0
13.0,82.0
13.0,82.0
13.0,82.0
13.0,71.0
13.0,82.0
13.0,82.0
13.0,71.0
13.0,76.0
