States,NumberofQuestion
13.0,0.5247313933282753
13.0,0.5434481999069972
13.0,0.7191928338921658
13.0,0.49517854083555646
13.0,0.5062409750605742
13.0,0.4916113952862282
13.0,0.5057943170415331
13.0,0.5331934212780538
13.0,0.4937651435424264
13.0,0.7136249051616534
13.0,0.5925193959715118
13.0,0.5118823270270931
13.0,0.4875364056878534
13.0,0.5003732347830343
13.0,0.5231711495631317
13.0,0.5502765608556255
13.0,0.5508639467436794
13.0,0.5124758315181478
13.0,0.6928338921657407
13.0,0.5272522577645072
13.0,0.6081095964169461
13.0,0.5031939107662938
13.0,0.5096551555348883
13.0,0.548783621723488
13.0,0.5819770430015418
13.0,0.5014868205291367
13.0,0.6828116204508187
13.0,0.516336670011503
13.0,0.5081683350057514
13.0,0.5481901172324335
