States,NumberofQuestion
13.0,0.5581389657113488
13.0,0.7637362637362637
13.0,0.5631133899508064
13.0,0.5185638415037078
13.0,0.5273991042365207
13.0,0.5005200812550479
13.0,0.49829290976284296
13.0,0.5521243789617954
13.0,0.5071281724956558
13.0,0.7581683350057515
13.0,0.6114503536552535
13.0,0.5141094985192981
13.0,0.5052742357864852
13.0,0.509281920751854
13.0,0.5285126899826232
13.0,0.5713551481925647
13.0,0.5664541471891138
13.0,0.519750850485817
13.0,0.5357142857142857
13.0,0.5383881152255316
13.0,0.5279926087275753
13.0,0.510989010989011
13.0,0.5274725274725275
13.0,0.5565787219462053
13.0,0.5680878141902641
13.0,0.5115090922440588
13.0,0.5538314691989525
13.0,0.6125639394013559
13.0,0.5032673340023006
13.0,0.559325974693458
